I/System.out: Pkg: com.android.phone	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.blockednumber	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.userdictionary	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.deskclock	ForegroundTime: 9899	BackgroundTime: 9899	Count: 6
I/System.out: Pkg: com.android.systemui	ForegroundTime: 14586	BackgroundTime: 14586	Count: 8
I/System.out: Pkg: com.zhan.ieltstiku	ForegroundTime: 158841	BackgroundTime: 158841	Count: 27
I/System.out: Pkg: fm.jihua.kecheng	ForegroundTime: 209134	BackgroundTime: 209134	Count: 16
I/System.out: Pkg: com.huawei.ca	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.ims	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.bluetooth	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.contacts	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.netease.cloudmusic	ForegroundTime: 855218	BackgroundTime: 855218	Count: 65
I/System.out: Pkg: com.eg.android.AlipayGphone	ForegroundTime: 559199	BackgroundTime: 559199	Count: 71
I/System.out: Pkg: com.huawei.android.airsharing	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.greenpoint.android.mc10086.activity	ForegroundTime: 300782	BackgroundTime: 300782	Count: 19
I/System.out: Pkg: com.huawei.camera	ForegroundTime: 399368	BackgroundTime: 399368	Count: 17
I/System.out: Pkg: com.google.android.ext.services	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.launcher	ForegroundTime: 1506757	BackgroundTime: 1506757	Count: 129
I/System.out: Pkg: com.android.mediacenter	ForegroundTime: 30956	BackgroundTime: 30956	Count: 12
I/System.out: Pkg: com.android.providers.telephony	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.calendar	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.health	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hidisk	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.iaware	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.media	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.chr	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.manboker.headportrait	ForegroundTime: 280202	BackgroundTime: 280202	Count: 16
I/System.out: Pkg: com.huawei.android.FloatTasks	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.intelligent	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.motionservice	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.appmarket	ForegroundTime: 675619	BackgroundTime: 675619	Count: 99
I/System.out: Pkg: com.tencent.qqmusic	ForegroundTime: 97289	BackgroundTime: 97289	Count: 2
I/System.out: Pkg: com.huawei.parentcontrol	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.secime	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: jp.co.supersoftware.mangacamera	ForegroundTime: 58337	BackgroundTime: 58337	Count: 29
I/System.out: Pkg: com.huawei.vdrive	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.iflytek.speechsuite	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.wallet	ForegroundTime: 42174	BackgroundTime: 42174	Count: 33
I/System.out: Pkg: com.huawei.android.totemweather	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.downloads	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.cryptosms.service	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.securitymgr	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.iconnect	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hwvplayer.youku	ForegroundTime: 22819	BackgroundTime: 22819	Count: 8
I/System.out: Pkg: com.android.defcontainer	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.vending	ForegroundTime: 8138	BackgroundTime: 8138	Count: 1
I/System.out: Pkg: com.tencent.mm	ForegroundTime: 4491020	BackgroundTime: 4491020	Count: 345
I/System.out: Pkg: com.baidu.input_huawei	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.carrierconfig	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: android	ForegroundTime: 1	BackgroundTime: 1	Count: 1
I/System.out: Pkg: com.tencent.android.qqdownloader	ForegroundTime: 440	BackgroundTime: 440	Count: 2
I/System.out: Pkg: com.huawei.imonitor	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hwid	ForegroundTime: 8248	BackgroundTime: 8248	Count: 9
I/System.out: Pkg: com.android.contacts	ForegroundTime: 10663	BackgroundTime: 10663	Count: 4
I/System.out: Pkg: com.android.mms	ForegroundTime: 617313	BackgroundTime: 617313	Count: 60
I/System.out: Pkg: com.android.nfc	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.stk	ForegroundTime: 1359	BackgroundTime: 1359	Count: 3
I/System.out: Pkg: com.huawei.android.instantshare	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.indexsearch.observer	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.indexsearch	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.internal.app	ForegroundTime: 7367	BackgroundTime: 7367	Count: 4
I/System.out: Pkg: com.huawei.gamebox	ForegroundTime: 399378	BackgroundTime: 399378	Count: 76
I/System.out: Pkg: com.huawei.aw600	ForegroundTime: 61512	BackgroundTime: 61512	Count: 7
I/System.out: Pkg: com.guixue.m	ForegroundTime: 1737032	BackgroundTime: 1737032	Count: 107
I/System.out: Pkg: com.android.calendar	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.intsig.camscanner.huawei	ForegroundTime: 134104	BackgroundTime: 134104	Count: 24
I/System.out: Pkg: com.android.providers.settings	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.printspooler	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.incallui	ForegroundTime: 19412	BackgroundTime: 19412	Count: 2
I/System.out: Pkg: com.huawei.systemmanager	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mtt	ForegroundTime: 6890949	BackgroundTime: 6890949	Count: 16
I/System.out: Pkg: com.huawei.vassistant	ForegroundTime: 16438	BackgroundTime: 16438	Count: 2
I/System.out: Pkg: com.android.server.telecom	ForegroundTime: 317	BackgroundTime: 317	Count: 1
I/System.out: Pkg: com.android.keychain	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.shouhui.xjsyj	ForegroundTime: 2463	BackgroundTime: 2463	Count: 1
I/System.out: Pkg: com.android.gallery3d	ForegroundTime: 821765	BackgroundTime: 821765	Count: 35
I/System.out: Pkg: com.google.android.gms	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.google.android.gsf	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mobileqq	ForegroundTime: 393736	BackgroundTime: 393736	Count: 63
I/System.out: Pkg: com.android.packageinstaller	ForegroundTime: 10294	BackgroundTime: 10294	Count: 3
I/System.out: Pkg: com.fngame.survival.huawei	ForegroundTime: 10969155	BackgroundTime: 10969155	Count: 21
